id;date_from;date_to;employee_id;project_id
1;2024-07-09T21:15:15;2024-07-10T04:35:28;1;1
2;2024-07-10T07:56:42;2024-07-09T18:56:00;2;2
3;2024-07-09T13:15:50;2024-07-10T00:31:29;3;3
4;2024-07-09T23:20:10;2024-07-09T23:17:41;4;4
5;2024-07-09T19:32:57;2024-07-10T00:54:24;5;5
6;2024-07-09T23:52:52;2024-07-09T15:33:38;6;6
7;2024-07-10T10:25:19;2024-07-10T01:22:27;7;7
8;2024-07-10T04:20:25;2024-07-10T01:48:16;8;8
9;2024-07-10T02:59:36;2024-07-09T15:29:53;9;9
10;2024-07-09T21:22:40;2024-07-10T04:41:52;10;10
